satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,scope,productivity,squandering,response,opportunity,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4
309.0,25,273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.047619047619047616,12.36,0.9823570924488356,10.92,1.1318681318681318,0.03361344537813557,0.07630522088343199,0.06666666666662627,0.03610108303247236
467.0,41,422.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.07142857142857142,11.390243902439025,0.9710656316160904,10.292682926829269,1.1066350710900474,0.05882352941173724,0.08032128514045472,0.09393939393933701,0.06498194945845025
623.0,60,569.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.09523809523809523,10.383333333333333,0.9576570218772054,9.483333333333333,1.0949033391915641,0.08403361344533893,0.1004016064255684,0.12121212121204775,0.08664259927793365
779.0,76,716.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.11904761904761904,10.25,0.9463655610444601,9.421052631578947,1.0879888268156424,0.1092436974789406,0.12048192771068209,0.14848484848475849,0.10830324909741706
845.0,99,776.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0.14285714285714285,8.535353535353535,0.9301340860973889,7.838383838383838,1.0889175257731958,0.12184873949574143,0.12851405622472756,0.15151515151505968,0.12274368231040601
867.0,111,816.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0.09523809523809523,7.8108108108108105,0.92166549047283,7.351351351351352,1.0625,0.1092436974789406,0.15662650602388672,0.15151515151505968,0.13718411552339496
1025.0,127,965.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0.11904761904761904,8.070866141732283,0.9103740296400847,7.5984251968503935,1.0621761658031088,0.13445378151254228,0.16064257028090945,0.17878787878777044,0.16606498194937283
1181.0,146,1112.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0.14285714285714285,8.08904109589041,0.8969654199011997,7.616438356164384,1.0620503597122302,0.15966386554614395,0.18072289156602314,0.20606060606048118,0.18772563176885626
1337.0,162,1259.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0.16666666666666666,8.253086419753087,0.8856739590684545,7.771604938271605,1.061953931691819,0.18487394957974562,0.2008032128511368,0.23333333333319192,0.20938628158833966
1480.4,209,1189.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0.16666666666666666,7.0832535885167465,0.8525052928722654,5.688995215311005,1.2450798990748528,0.17226890756294477,0.18875502008006861,0.21818181818168594,0.2021660649818452
