,Domain-specific,Student MUST,Delta,Requirement label
req_1,100.0,100.0,0.0,New File
req_2,100.0,77.77777777777777,22.22222222222223,Open+Save(+SaveAs)
req_3,100.0,83.33333333333334,16.666666666666657,Close File
req_4,0.0,8.333333333333332,-8.333333333333332,Search File
req_5,98.33333333333333,8.333333333333332,90.0,Protect File
req_6,14.166666666666666,16.666666666666664,-2.4999999999999982,Print Preview
req_7,70.0,66.66666666666666,3.333333333333343,Print File
req_8,0.0,8.333333333333332,-8.333333333333332,Send To
req_9,23.333333333333332,8.333333333333332,15.0,Set Properties
req_10,0.0,66.66666666666666,-66.66666666666666,Exit
req_11,97.5,50.0,47.5,Undo a Task
req_12,72.5,50.0,22.5,Redo a Task
req_13,100.0,61.11111111111111,38.88888888888889,Cut+Copy+Paste
req_14,75.0,0.0,75.0,Paste Special
req_15,100.0,16.666666666666664,83.33333333333334,Go To
req_16,100.0,33.33333333333333,66.66666666666667,Find
req_17,100.0,25.0,75.0,Replace
req_18,100.0,33.33333333333333,66.66666666666667,Select All
req_19,100.0,8.333333333333332,91.66666666666667,Default
req_20,100.0,8.333333333333332,91.66666666666667,Print Layout
req_21,72.5,0.0,72.5,Web layout
req_22,31.666666666666664,33.33333333333333,-1.6666666666666643,Zoom
req_23,100.0,25.0,75.0,Header/Footer/PageNumber
req_24,100.0,0.0,100.0,Date/Time
req_25,100.0,8.333333333333332,91.66666666666667,Symbol
req_26,99.16666666666667,25.0,74.16666666666667,Bookmark
req_27,100.0,25.0,75.0,Hyperlink
req_28,100.0,41.66666666666667,58.33333333333333,Font
req_29,97.5,16.666666666666664,80.83333333333334,Paragraph
req_30,100.0,8.333333333333332,91.66666666666667,Bullets/Numbering
req_31,69.16666666666667,33.33333333333333,35.83333333333334,Change Case
req_32,0.8333333333333334,0.0,0.8333333333333334,Background
req_33,61.66666666666667,33.33333333333333,28.333333333333343,Check Spell
req_34,18.333333333333332,41.66666666666667,-23.33333333333334,Check Grammer
req_35,4.166666666666666,16.666666666666664,-12.499999999999998,Speech
req_36,0.0,0.0,0.0,Mail Merge
req_37,0.0,0.0,0.0,Macro
req_38,81.66666666666667,25.0,56.66666666666667,Set Options
req_39,100.0,38.88888888888889,61.11111111111111,Table functions
req_40,76.66666666666667,16.666666666666664,60.00000000000001,Sort
req_41,0.8333333333333334,8.333333333333332,-7.499999999999999,Import Data
req_42,100.0,16.666666666666664,83.33333333333334,Help + Search
