mapped_req_42,official_name,reduced_name,band_a_pct,band_b_pct,band_c_delta
1,New File,New File,12.244897959183673,100.0,-87.75510204081633
2,Open File + Save File + Save As,Open+Save(+SaveAs),63.26530612244898,77.77777777777777,-14.512471655328788
3,Close File,Close File,36.734693877551024,83.33333333333334,-46.59863945578232
4,Search File,Search File,0.0,8.333333333333332,-8.333333333333332
5,Protect File,Protect File,22.448979591836736,8.333333333333332,14.115646258503403
6,Print Preview,Print Preview,0.0,16.666666666666664,-16.666666666666664
7,Print File,Print File,10.20408163265306,66.66666666666666,-56.4625850340136
8,Send To,Send To,0.0,8.333333333333332,-8.333333333333332
9,Set Properties,Set Properties,0.0,8.333333333333332,-8.333333333333332
10,Exit,Exit,0.0,66.66666666666666,-66.66666666666666
11,Undo a Task,Undo a Task,0.0,50.0,-50.0
12,Redo a Task,Redo a Task,0.0,50.0,-50.0
13,Cut + Copy + Paste,Cut+Copy+Paste,38.775510204081634,61.11111111111111,-22.335600907029477
14,Paste Special,Paste Special,10.20408163265306,0.0,10.20408163265306
15,Go To,Go To,40.81632653061224,16.666666666666664,24.14965986394558
16,Find,Find,81.63265306122449,33.33333333333333,48.29931972789116
17,Replace,Replace,51.02040816326531,25.0,26.02040816326531
18,Select All,Select All,87.75510204081633,33.33333333333333,54.421768707483
19,Default,Default,100.0,8.333333333333332,91.66666666666669
20,Print Layout,Print Layout,2.0408163265306123,8.333333333333332,-6.29251700680272
21,Web layout,Web layout,0.0,0.0,0.0
22,Zoom,Zoom,0.0,33.33333333333333,-33.33333333333333
23,Header/Footer + Page Numbers,Header/Footer/PageNumber,2.0408163265306123,25.0,-22.959183673469383
24,Date/Time,Date/Time,63.26530612244898,0.0,63.26530612244898
25,Symbol,Symbol,57.14285714285714,8.333333333333332,48.80952380952381
26,Bookmark,Bookmark,2.0408163265306123,25.0,-22.959183673469383
27,Hyperlink,Hyperlink,61.224489795918366,25.0,36.224489795918366
28,Font,Font,2.0408163265306123,41.66666666666667,-39.62585034013606
29,Paragraph,Paragraph,0.0,16.666666666666664,-16.666666666666664
30,Bullets/Numbering,Bullets/Numbering,0.0,8.333333333333332,-8.333333333333332
31,Change Case,Change Case,0.0,33.33333333333333,-33.33333333333333
32,Background,Background,0.0,0.0,0.0
33,Check Spell,Check Spell,0.0,33.33333333333333,-33.33333333333333
34,Check Grammer,Check Grammer,0.0,41.66666666666667,-41.66666666666667
35,Speech,Speech,0.0,16.666666666666664,-16.666666666666664
36,Mail Merge,Mail Merge,0.0,0.0,0.0
37,Macro,Macro,0.0,0.0,0.0
38,Set Options,Set Options,36.734693877551024,25.0,11.734693877551024
39,Insert/Delete/Format Table,Table functions,24.489795918367346,38.88888888888889,-14.399092970521547
40,Sort,Sort,0.0,16.666666666666664,-16.666666666666664
41,Import Data,Import Data,6.122448979591836,8.333333333333332,-2.210884353741496
42,Help + Search,Help + Search,61.224489795918366,16.666666666666664,44.5578231292517
